id,user,beer,overall,bitter,distinct,drinkagain,tags
b3_26_22_1,test-3,baseline:sierra-pale-ale,6.5,3.8,3,,"malty, floral, pine, tropical"
b3_26_22_2,test-3,baseline:sierra-dankful-ipa,5.5,5.5,6,,"soft,hoppy,pine,alcohol"
b3_26_22_3,test-3,baseline:sierra-atomic-torpedo,6,5,6,,"floral, pine, resinous, alcohol"
b3_26_22_4,test-3,baseline:sierra-torpedo,6.7,6.5,5,,"fluffy, herbal, resinous, caramel"
b3_26_22_5,test-3,baseline:lagunitas-ipa,5.5,5.1,6.5,,"fluffy,soft,resinous,caramel"
b3_26_22_6,test-3,whiteelm:skinny-leg,7.4,7.8,6,,"resinous,grapefruit,white wine"
b3_26_22_7,test-3,baseline:goose-island-ipa,7.25,5.5,4,,"dry, hoppy, pine, grapefruit"
b3_26_22_8,test-3,empyrean:watch-man-ipa,7,5.8,5.5,,"bready,herbal,resinous,lemon"
b3_26_22_9,test-3,zipline:hazy-ipa,5,3,4.75,,"carbonated,dry,pine,lemon"
b3_26_22_10,test-3,zipline:ipa,8.4,6,4,,"crisp,dry,floral,grapefruit"
b3_26_22_11,test-3,baseline:nb-vd-juicy-haze-ipa,5,5,8,,"alcohol,carbonated,resinous,tropical"
b3_26_22_12,test-3,baseline:nb-vd-ipa,6,5,3,,"carbonated,grapefruit,tropical,alcohol"
b3_26_22_13,test-3,baseline:nb-vd-exp-ipa-5,4,4.1,6,,"carbonated,dry,tropical,alcohol"
b3_26_22_14,test-3,baseline:nb-vd-hop-avenger,5.5,4.2,8,,"malty,pineapple,tropical,alcohol"
b3_26_22_15,test-3,baseline:sa-wicked-hazy-ipa,7.7,3.5,4,,"tame,tropical,orange,pineapple"
b3_26_22_16,test-3,whiteelm:skinny-leg,7,7.8,6,,"floral,grapefruit,crisp,lemon"
b3_26_22_17,test-3,luckybucket:evil,6,3,8,,"sweet,caramel,chocolate,roasted"
b3_26_22_18,test-3,luckybucket:groover,6,5,6,,"carbonated,malty,herbal,pine"
b3_26_22_19,test-3,backswing:ipa,3.8,8.5,9,,"alcohol,malty,hoppy,caramel"
b3_26_22_20,test-3,baseline:guinness-draught,7,4.5,6,,"fluffy,malty,coffee,roasted"
b3_26_22_21,test-3,baseline:deschutes-fresh-haze-ipa,6.5,4.5,3.5,,"malty,dry,tame,tropical"
b3_26_22_22,test-3,baseline:deschutes-fresh-squeezed-ipa,7.5,6,5,,"fluffy,malty,pine,resinous"
b3_26_22_23,test-3,baseline:bb-phantom-bride,8,6,4,,"fluffy,herbal,tropical,orange"
b3_26_22_24,test-3,baseline:bb-hazers-gonna-haze,6.5,3.5,6,,"dry,grapefruit,herbal,lemon"
b3_26_22_26,test-3,baseline:heineken,8.75,2.3,3,,"crisp,dry,sweet,skunk"
b3_26_22_27,test-3,baseline:ab-becks,5.8,2.1,2,,"fluffy,lemon, skunk, malty"
b3_26_22_28,test-3,baseline:new-castle-brown,5,2.8,4,,"caramel, bready, roasted, malty"
b3_26_22_29,test-3,zipline:dope-ipa,7.4,5.5,5,,"pine, resinous, tropical, orange"
b4_14_22_1,test-3,baseline:founders-all-day-ipa,7.8,4.2,3.5,,"crisp,grapefruit,hoppy,pine"
b4_14_22_2,test-3,baseline:goose-island-next-coast-ipa,5,4,3.2,,"smooth,pine,tropical,alcohol"
b4_14_22_3,test-3,baseline:breckenridge-avalanche,6,1.9,3,,"crisp,dry,caramel"
b4_14_22_4,test-3,baseline:breckenridge-vanilla-porter,8,1.6,6.5,,"smooth,chocolate,coffee,vanilla"
b4_14_22_5,test-3,baseline:bb-no-worries,6,4.5,4,,"smooth,resinous,tropical,orange"
b4_14_22_6,test-3,baseline:bb-mosaic-ipa,8.75,6,4,,"grapefruit,resinous,tropical,pineapple"
b4_14_22_7,test-3,baseline:cigar-city-jai-alai-ipa,6,6.5,4,,"crisp,herbal,pine,orange"
b4_14_22_8,test-3,baseline:gd-yeti-imperial-stout,7,3,7,,"smooth,resinous,chocalate,coffee"
b5_22_05_01,test-5,zipline:dear-old,5.5,1.8,3.5,,"malty,tame,sweet,wheat"
b5_22_05_02,test-6,nebrew:brunette,6,3,5,,"soft,tame,caramel,roasted"
b5_22_05_03,test-7,luckybucket:jug,5,1,7,,"malty,caramel,chocolate,roasted"
b5_22_05_04,test-8,empyrean:third-stone-brown,6,1.3,6,,"smooth,tame,roasted,tart"
b5_22_05_05,test-9,baseline:leinie-summer-shandy,6,1.1,8,,"carbonated,crisp,lemon,tart"
b5_22_05_06,test-10,zipline:oatmeal-porter,6.5,3.6,7.5,,"smooth,soft,chocolate,coffee"
b5_22_05_07,test-11,cosmiceye:eyes,7.4,5.5,6,,"fluffy,grapefruit,resinous,tropical"
b5_22_05_08,test-12,empyrean:chaco-canyon-gold,6,2.1,6.5,,"bready,crisp,skunk,honey"
b5_22_05_09,test-13,empyrean:burning-skye-scottish,6,1.3,5,,"dry,smooth,sweet,smoky"
b5_22_05_10,test-14,cosmiceye:unlock-the-time-dragon,6.5,5,1,,"smooth,tame,grapefruit,pine"
b5_22_05_11,test-15,zipline:daaang-ipa,6.4,7,8,,"carbonated,grapefruit,hoppy,alcohol"
b5_22_05_12,test-16,baseline:harp-lager,5,5,7,,"carbonated,dry,floral,tart"
b5_22_05_13,test-17,cosmiceye:forgetting,7,6,5,,"dry,herbal,pine,resinous"
b5_22_05_14,test-18,krosstrain:fairy-nectar,9,5,8,,"floral,grapefruit,hoppy,tropical"
b5_22_05_15,test-19,nebrew:cardinal,6,4,5,,"carbonated,malty,skunk,tropical"
b5_22_05_16,test-20,kinkaider:dragon,5,2,6,,"soft,herbal,melon,pear"
b5_22_05_17,test-20,nebrew:ipa,5,7,3,,"crisp,malty,pine,resinous"
b5_22_05_18,test-21,nebrew:cardinal,6,4,5,,"carbonated,malty,skunk,tropical"
b5_22_05_19,test-22,krosstrain:fairy-nectar,9,5,8,,"floral,grapefruit,hoppy,tropical"
b5_22_05_20,test-23,krosstrain:hopstreaker,7,4,6,,"crisp,grapefruit,pine,tropical"
b5_22_05_21,test-24,kinkaider:bangarang,6.5,2.4,4,,"soft,pine,tropical,melon"
b6_22_05_16_1,test-25,backswing:wheat,5.5,1.8,1.7,,"malty,soft,wheat,orange"
b6_22_05_16_2,test-26,nebrew:eos,5.8,1.3,7.1,,"sweet,wheat,banana,tart"
b6_22_05_16_3,test-27,whiteelm:inverted-mosaic,6,6,5,,"pine, resinous, alcohol,orange"
b6_22_05_16_4,test-28,brickway:stout,6.5,1.9,7.7,,"chocolate, coffee, vanilla, roasted"
protobatch14,sam-1,kinkaider:frame-the-butcher,6,7,6,yes,"pine,spicy,bready, resinous"
protobatch5,Lam-1,whiteelm:skinny-leg,8.5,7.5,5,yes,"fluffy,resinous,woody,bready,grapefruit"
protobatch6,sam-1,whiteelm:skinny-leg,7.5,6.5,3,yes,"carbonated,lemon,pine,bready"
protobatch7,Lam-1,zipline:ipa,6.5,7,3,yes,"grapefruit,fluffy,tart,pine"
protobatch8,sam-1,zipline:ipa,9,5,2,yes,"fluffy,grapefruit,pine,smoky"
protobatch9,Lam-1,whiteelm:skinny-leg,8.5,5,5,yes,"soft,crisp,honey,lemon,pear"
protobatch10,sam-1,whiteelm:skinny-leg,9.5,6.5,3,yes,"crisp,grapefruit,lemon,floral"
protobatch15,lam-1,whiteelm:skinny-leg,10,7,6,yes,"crisp,sweet,woody,pine,floral,grapefruit"
protobatch16,sam-1,whiteelm:skinny-leg,7.5,8,2,yes,"dry,fluffy,alcohol,grapefruit,floral"
protobatch17,lam-1,kinkaider:star-snake-dank,7.5,7,6,maybe,"dry,soft,alcohol,herbal"
protobatch20,lam-1,cosmiceye:deadmansrun,7.5,3.5,6,yes,"dry,crisp,woody,lemon,pine,grapefruit"
protobatch21,sam-1,cosmiceye:deadmansrun,8,4,2.5,yes,"mouth-coating,sweet,grape,fruity"
protobatch22,lam-1,infusion:vanilla-bean,7.5,2,6,yes,"dry,crisp,pine,vanilla"
protobatch23,goku-1,infusion:vanilla-bean,7,2,6.5,yes,"sweet,mild,floral,vanilla"
protobatch24,lam-1,kinkaider:4-county,6.5,5,4.5,yes,"malty,resinous,tropical,tea "
protobatch25,lam-1,infusion:vbb-pumpkin,8.5,3,8,yes,"bready,vanilla,caramel,melon,banana,clove"
protobatch26,lam-1,nebrew:tacoveza,7,2,2,yes,"sweet,tame,dry,skunk"
protobatch28,lam-1,thunderhead:prairiepeach,6.5,3.5,7,maybe,"peach, bready, wheat, tart"
protobatch29,lam-1,zipline:cloudlifter-tropical-hazy-ipa,6.5,5.5,7,maybe,"crisp,malty,tropical, tart"
